Line        |       value       
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1           |       82367  
4           |       460       
5           |       81907       
7           |       59750       
8           |       59750       
9           |       0       
10          |       460       
12          |       460       
13          |       523050       
14          |       82367       
15          |       81907       
16          |       460       
17          |       460       
18          |       69.0       
19          |       460       
20          |       0       
21          |       0.0       
22          |       12141       
23          |       12210.0       
24          |       12240       
25          |       12240       
